R_NanoG0686	R01404
R_NanoG0747	R04956
R_NanoG0748	R04959
R_NanoG0749	R04725
R_NanoG0751	R04956
R_NanoG0752	R04959
R_NanoG0753	R04725
R_NanoG0194	R00732
R_NanoG1105	R03689
R_NanoG1106	R01457
R_NanoG1107	R05703
R_NanoG1294	R06896
R_NanoG1260	R03947
R_NanoG1424	R02063
R_NanoG0729	R04955
R_NanoG0730	R04955
R_NanoG0731	R04958
R_NanoG0732	R04958
R_NanoG0733	R04724
R_NanoG0734	R04724
R_NanoG0735	R07765
R_NanoG0736	R04429
R_NanoG0737	R04429
R_NanoG0750	R04961
R_NanoG0754	R04961
R_NanoG0656	R07761
R_NanoG0334	R03192
R_NanoG0335	R03192
R_NanoG0341	R00640
R_NanoG1293	R03220
R_NanoG1283	R03222
R_NanoG0579	R02164
R_NanoG1403	R07511
R_NanoG1288	R05818
R_NanoG1275	R05819
R_NanoG1568	R01867
R_NanoG1414	R09692
R_NanoG1297	R06895
R_NanoG1317	R07163
R_NanoG0013	R00114
R_NanoG0022	R00093
R_NanoG1221	R00481
R_NanoG1222	R00481
R_NanoG0142	R00366
R_NanoG0143	R02529
R_NanoG0185	R02613
R_NanoG0307	R06740
R_NanoG1364	R00278
R_NanoG1369	R00277
R_NanoG0007	R00021
R_NanoG0168	R02315
R_NanoG0057	R01251
R_NanoG0058	R01251
R_NanoG1237	R07168
R_NanoG1238	R07168
R_NanoG0176	R02201
R_NanoG1231	R00939
R_NanoG1239	R01220
R_NanoG1240	R01220
R_NanoG0174	R00715
R_NanoG0177	R00716
R_NanoG1589	R04433
R_NanoG1228	R00112
R_NanoG1229	R00112
R_NanoG1212	R00112
R_NanoG0332	R00100
R_NanoG0333	R00100
R_NanoG0612	R00281
R_NanoG0602	R00794
R_NanoG1490	R02106
R_NanoG0605	R00790
R_NanoG0599	R00143
R_NanoG1382	R00115
R_NanoG1383	R00115
R_NanoG1384	R00115
R_NanoG1575	R02016
R_NanoG1576	R02016
R_NanoG0629	R00533
R_NanoG0630	R00533
R_NanoG0626	R07606
R_NanoG0628	R02021
R_NanoG0350	R01108
R_NanoG0624	R00859
R_NanoG0087	R00650
R_NanoG1226	R01269
R_NanoG1227	R01269
R_NanoG1037	R02037
R_NanoG1038	R06868
R_NanoG1039	R06869
R_NanoG1295	R03194
R_NanoG1276	R04237
R_NanoG1346	R04711
R_NanoG0077	R00946
R_NanoG1291	R05181
R_NanoG0065	R04405
R_NanoG1389	R09365
R_NanoG1292	R05810
R_NanoG0221	R03130
R_NanoG1114	R04427
R_NanoG1115	R07481
R_NanoG0305	R01153
R_NanoG1031	R03424
R_NanoG1344	R07504
R_NanoG1345	R07236
R_NanoG0111	R00945
R_NanoG1250	R01226
R_NanoG1251	R01226
R_NanoG1461	R04325
R_NanoG1462	R04325
R_NanoG1463	R04325
R_NanoG1445	R04560
R_NanoG0529	R00930
R_NanoG1577	R01397
R_NanoG1578	R01397
R_NanoG0032	R01398
R_NanoG0515	R01067
R_NanoG0516	R01067
R_NanoG0517	R01641
R_NanoG0518	R01641
R_NanoG0511	R01827
R_NanoG0597	R01440
R_NanoG1338	R05636
R_NanoG1353	R08165
R_NanoG1354	R08165
R_NanoG0046	R00259
R_NanoG0984	R00851
R_NanoG0985	R00851
R_NanoG0986	R00851
R_NanoG0987	R00851
R_NanoG0988	R00851
R_NanoG0989	R00851
R_NanoG0990	R00851
R_NanoG0991	R00851
R_NanoG0992	R00851
R_NanoG0993	R00851
R_NanoG0994	R00851
R_NanoG0995	R00851
R_NanoG0996	R00851
R_NanoG0997	R00851
R_NanoG0998	R00851
R_NanoG0999	R00851
R_NanoG1000	R00851
R_NanoG1001	R00851
R_NanoG1002	R00851
R_NanoG1003	R09380
R_NanoG1004	R09380
R_NanoG1005	R09380
R_NanoG1006	R09380
R_NanoG1007	R09380
R_NanoG1008	R09380
R_NanoG1009	R09380
R_NanoG1010	R09380
R_NanoG1011	R09380
R_NanoG1012	R09380
R_NanoG0631	R03778
R_NanoG0826	R01177
R_NanoG0827	R01177
R_NanoG0828	R01177
R_NanoG0829	R03778
R_NanoG0830	R03778
R_NanoG0865	R04747
R_NanoG0866	R04742
R_NanoG0867	R03858
R_NanoG0868	R03991
R_NanoG0918	R07899
R_NanoG0108	R00371
R_NanoG0099	R00586
R_NanoG0100	R01776
R_NanoG0045	R02282
R_NanoG0703	R01626
R_NanoG0704	R01626
R_NanoG0705	R01626
R_NanoG0657	R04960
R_NanoG0658	R04960
R_NanoG0756	R04726
R_NanoG0757	R04726
R_NanoG0766	R04957
R_NanoG0767	R04957
R_NanoG0768	R04963
R_NanoG0769	R04963
R_NanoG0784	R04355
R_NanoG0785	R04355
R_NanoG0786	R04952
R_NanoG0787	R04952
R_NanoG0791	R04968
R_NanoG1194	R03210
R_NanoG1195	R03210
R_NanoG1095	R01281
R_NanoG0911	R09381
R_NanoG0912	R09381
R_NanoG0913	R09381
R_NanoG0914	R09381
R_NanoG0949	R02241
R_NanoG0950	R02241
R_NanoG0951	R02241
R_NanoG0952	R02241
R_NanoG0953	R02241
R_NanoG0954	R02241
R_NanoG0955	R02241
R_NanoG0956	R02241
